Author,Citation_count,Figures,Pages,Pub,Title,Year
"[u'Bennett, David P.', u'Rhie, Sun Hong']",61,5.0,8.0,The Astrophysical Journal,"[u""COBE's Constraints on the Global Monopole and Texture Theories of Cosmic Structure Formation""]",1993
"[u'Nath, B. B.', u'Biermann, P. L.']",29,2.0,8.0,Monthly Notices of the Royal Astronomical Society,[u'Cosmic ray ionization of the interstellar medium'],1994
"[u'McGaugh, Stacy S.']",211,,19.0,The Astrophysical Journal,[u'Oxygen Abundances in Low Surface Brightness Disk Galaxies'],1994
"[u'Schramm, T.']",11,,7.0,Astronomy and Astrophysics,[u'A toolbox for general elliptical gravitational lenses'],1994
"[u'Khusnutdinov, N. R.']",9,,,Classical and Quantum Gravity,[u'Self-interaction force for a particle in cone spacetime'],1994
"[u'Falcke, H.', u'Biermann, P. L.', u'Duschl, W. J.', u'Mezger, P. G.']",35,,11.0,Astronomy and Astrophysics,[u'A rotating black hole in the galactic center.'],1993
"[u'Moscardini, Lauro', u'Tormen, Giuseppe', u'Matarrese, Sabino', u'Lucchin, Francesco']",8,7.0,18.0,The Astrophysical Journal,[u'Testing the Velocity Field in Non--Scale-invariant Cold Dark Matter Models'],1995
"[u'Metzler, Christopher A.', u'Evrard, August E.']",154,,36.0,The Astrophysical Journal,[u'A Simulation of the Intracluster Medium with Feedback from Cluster Galaxies'],1994
"[u'Goldberg, Haim']",0,,11.0,ArXiv e-prints,[u'Gaugino Condensation as the Origin of Primordial Fluctuations'],1993
"[u'M\xfcller, Ewald', u'Steinmetz, Matthias']",52,,15.0,Computer Physics Communications,[u'Simulating self-gravitating hydrodynamic flows'],1995
"[u'Brandenberger, Robert H.', u'Davis, Anne-Christine']",22,,12.0,Physics Letters B,[u'Formation of topological defects in a second order phase transition'],1994
"[u'Abel, S. A.', u'Sarkar, S.', u'Whittingham, I. B.']",41,,,Nuclear Physics B,[u'Neutralino dark matter in a class of unified theories'],1993
"[u'Delgado, V.']",0,,11.0,ArXiv e-prints,"[u'The Process of Generation of Mass, The Higgs Boson, and Dark Matter']",1993
"[u'Hu, Wayne', u'Sugiyama, Naoshi']",49,,6.0,Physical Review D,[u'Small scale integrated Sachs-Wolfe effect'],1994
"[u'Peter, Patrick']",21,,12.0,Physical Review D,[u'Spontaneous current generation in cosmic strings'],1994
"[u'Mezhlumian, Arthur']",1,,,Texas/PASCOS '92: Relativistic Astrophysics and Particle Cosmology,[u'Towards the Theory of Stationary Universe'],1993
"[u'Henney, W. J.']",19,,18.0,The Astrophysical Journal,[u'Polarization Profiles of Scattered Emission Lines. I. General Formalism for Optically Thin Rayleigh Scattering'],1994
"[u'Mardling, Rosemary A.']",0,,7.0,ArXiv e-prints,[u'Chaos and the Dynamical Evolution of Tidal Capture Binaries in Globular Clusters'],1994
"[u'Chakrabarti, Sandip K.', u'Molteni, Diego']",84,,16.0,The Astrophysical Journal,[u'Smoothed Particle Hydrodynamics Confronts Theory: Formation of Standing Shocks in Accretion Disks and Winds around Black Holes'],1993
"[u'Borgani, S.', u'Coles, P.', u'Moscardini, L.', u'Plionis, M.']",11,,,Monthly Notices of the Royal Astronomical Society,[u'The angular distribution of clusters in skewed CDM models.'],1994
"[u'Linde, Andrei', u'Linde, Dmitri']",87,17.0,21.0,Physical Review D,[u'Topological defects as seeds for eternal inflation'],1994
"[u'Seitz, Stella', u'Schneider, Peter', u'Ehlers, J\xfcrgen']",66,,31.0,Classical and Quantum Gravity,[u'Light propagation in arbitrary spacetimes and the gravitational lens approximation'],1994
"[u'Perivolaropoulos, Leandros']",17,,,Physical Review D,[u'Asymptotics of Nielsen-Olesen vortices'],1993
"[u'Ferrell, Robert', u'Bertschinger, Edmund']",22,,22.0,International Journal of Modern Physics C,[u'Particle-Mesh Methods on the Connection Machine'],1994
"[u'Torres, S.', u'Fabbri, R.', u'Ruffini, R.']",8,,,Astronomy and Astrophysics,[u'The power spectrum implied by COBE and the matter correlation function.'],1994
"[u'Mo, H. J.', u'McGaugh, Stacy S.', u'Bothun, Gregory D.']",91,,20.0,Monthly Notices of the Royal Astronomical Society,[u'Spatial distribution of low-surface-brightness galaxies'],1994
"[u'Economou, A.', u'Lousto, C. O.']",13,,11.0,Physical Review D,[u'Charged black holes in quadratic theories'],1994
"[u'Carrigan, B. J.', u'Katz, J. I.']",17,,24.0,The Astrophysical Journal,[u'Radiation Transfer in Gamma-Ray Bursts'],1992
"[u'Liddle, A. R.', u'Lyth, D. H.']",24,,10.0,Monthly Notices of the Royal Astronomical Society,[u'Inflation and mixed dark matter models'],1993
"[u'Jetzer, P.', u'Liljenberg, P.', u'Skagerstam, B. -S.']",7,,,Astroparticle Physics,[u'Charged boson stars and vacuum instabilities'],1993
"[u'Hata, Naoya', u'Langacker, Paul']",153,,43.0,Physical Review D,"[u'Solar model uncertainties, MSW analysis, and future solar neutrino experiments']",1994
"[u'Weinberg, Erick J.']",40,,39.0,Physical Review D,[u'Vacuum decay in theories with symmetry breaking by radiative corrections'],1993
"[u'Stirpe, G. M.', u'Winge, C.', u'Altieri, B.', u'Alloin, D.', u'Aguero, E. L.', u'Anupama, G. C.', u'Ashley, R.', u'Bertram, R.', u'Calderon, J. H.', u'Catchpole, R. M.', u'Corradi, R. L. M.', u'Covino, E.', u'Dottori, H. A.', u'Feast, M. W.', u'Ghosh, K. K.', u'Hutton, R. Gil', u'Glass, I. S.', u'Grebel, E. K.', u'Jorda, L.', u'Koen, C.', u'Laney, C. D.', u'Maia, M.', u'Marang, F.', u'Mayya, Y. D.', u'Morrell, N.', u'Nakada, Y.', u'Pastoriza, M. G.', u'Pati, A. K.', u'Pelat, D.', u'Peterson, B. M.', u'Prabhu, T. P.', u'Roberts, G.', u'Sagar, R.', u'Salamanca, I.', u'Sekiguchi, K.', u'Storchi-Bergmann, T.', u'Subramaniam, A.', u'Van Winckel, H.', u'van Wyk, F.', u'Villada, M.', u'Wagner, R. M.', u'Whitelock, P. A.', u'Winkler, H.', u'Clavel, J.', u'Dietrich, M.', u'Kollatschny, W.', u""O'Brien, P. T."", u'Perola, G. C.', u'Recondo-Gonzalez, M. C.', u'Rodriguez-Pascual, P.', u'Santos-Lleo, M.']",80,,34.0,The Astrophysical Journal,[u'Steps toward Determination of the Size and Structure of the Broad-Line Region in Active Galactic Nuclei. VI. Variability of NGC 3783 from Ground-based Data'],1994
"[u'Bicknell, G. V.']",9,,10.0,The Physics of Active Galaxies,[u'Beamed Radiation in Radio Galaxies'],1994
"[u'Kuijken, K.', u'Dubinski, J.']",36,,18.0,Monthly Notices of the Royal Astronomical Society,[u'Lowered Evans Models - Analytic Distribution Functions of Oblate Halo Potentials'],1994
"[u'Baillon, P.', u'Bouquet, A.', u'Giraud-Heraud, Y.', u'Kaplan, J.']",105,4.0,,Astronomy and Astrophysics,[u'Detection of brown dwarfs by the micro-lensing of unresolved stars.'],1993
"[u'Hu, Wayne', u'Sugiyama, Naoshi']",33,,,The Astrophysical Journal,[u'Thermal History Constraints on the Isocurvature Baryon Model'],1994
"[u'Henriksen, Mark J.', u'Mamon, Gary A.']",24,3.0,4.0,The Astrophysical Journal,[u'The Baryonic Fraction in Groups of Galaxies from X-Ray Measurements'],1994
"[u'Padmanabhan, T.', u'Subramanian, K.']",0,,4.0,ArXiv e-prints,[u'Baryonic Content of Galactic Halos and Constraints on Models for Structure Formation'],1993
"[u'Borgeest, U.', u'Schramm, K. -J.']",19,,12.0,Astronomy and Astrophysics,[u'The Hamburg Quasar Monitoring program (HQM) at Calar Alto I. Low amplitude variability in quasars'],1994
"[u'Rangarajan, Raghavan', u'Srednicki, Mark']",0,,5.0,Physical Review D,[u'Chaotic dark matter'],1992
"[u'Fukugita, M.', u'Peebles, P. J. E.']",5,,12.0,ArXiv e-prints,[u'Visibility of Gravitational Lenses and the Cosmological Constant Problem'],1993
"[u'Schaefer, R. K.', u'Shafi, Q.']",14,9.0,42.0,Physical Review D,[u'Simple model of large scale structure formation'],1994
"[u'Fields, Brian D.', u'Dodelson, Scott', u'Turner, Michael S.']",40,,14.0,Physical Review D,[u'Effect of neutrino heating on primordial nucleosynthesis'],1993
"[u'Crittenden, Robert', u'Davis, Richard L.', u'Steinhardt, Paul J.']",79,,9.0,The Astrophysical Journal,[u'Polarization of the Microwave Background Due to Primordial Gravitational Waves'],1993
"[u'Steinmetz, M.', u'Muller, E.']",133,,4.0,Astronomy and Astrophysics,"[u'The formation of disk galaxies in a cosmological context: Populations, metallicities and metallicity gradients']",1994
"[u'Coley, A. A.', u'Trappenberg, T.']",6,,8.0,Physical Review D,"[u'Quark-hadron phase transition, QCD lattice calculations, and inhomogeneous big-bang nucleosynthesis']",1994
"[u'Howe, J. E.', u'Jaffe, D. T.', u'Grossman, E. N.', u'Wall, W. F.', u'Mangum, J. G.', u'Stacey, G. J.']",22,,,The Astrophysical Journal,[u'Extended CO(76) Emission from Warm Gas in Orion'],1993
"[u'Fischer, Philippe', u'Kochanski, Greg P.']",12,,27.0,The Astronomical Journal,[u'Optimal Addition of Images for Detection and Photometry'],1994
"[u'Shi, X.', u'Schramm, D. N.', u'Dearborn, D. S. P.', u'Truran, J. W.']",4,4.0,17.0,Comments on Astrophysics,[u'Possible systematic decreases in the age of globular clusters.'],1995
"[u'Meiksin, Avery']",41,,28.0,The Astrophysical Journal,[u'The Structure and Evolution of Lyman-Alpha Forest Clouds in the Minihalo Model'],1994
"[u'Starkman, G. D.', u'Kaiser, N.', u'Malaney, R. A.']",12,,23.0,The Astrophysical Journal,[u'Mixed Dark Matter from Neutrino Lasing'],1994
"[u'Finn, Lee Samuel']",1,,3.0,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Observing Binary Inspiral with LIGO'],1994
"[u'Boldin, A. Yu.', u'Dmitrieva, V. V.', u'Safin, S. S.', u'Sharipov, R. A.']",3,,2.0,ArXiv e-prints,[u'Dynamical systems accepting the normal shift on an arbitrary Riemannian manifold'],1994
"[u'Croft, R. A. C.', u'Efstathiou, G.']",66,,,Monthly Notices of the Royal Astronomical Society,[u'The correlation function of rich clusters of galaxies in CDM-like models'],1994
"[u'Bennett, David P.', u'Stebbins, Albert', u'Bouchet, Francois R.']",103,,8.0,The Astrophysical Journal,[u'The Implications of the COBE DMR Results for Cosmic Strings'],1992
"[u'Di Gregorio, D. E.', u'Gattone, A.', u'Huck, H.', u'Macchiavelli, A. O.', u'Gil, S.', u'Collar, J.', u'Avignone, F. T., III']",0,10.0,,ArXiv e-prints,[u'Effects of Diurnal Modulation in Direct Cold Dark Matter Searches. the Experiment in Sierra Grande'],1993
"[u'Nemiroff, Robert J.', u'Wickramasinghe, W. A. D. T.']",114,,10.0,The Astrophysical Journal,[u'Finite Source Sizes and the Information Content of Macho-Type Lens Search Light Curves'],1994
"[u'Usov, V. V.']",20,,5.0,The Astrophysical Journal,[u'Glitches in the X-Ray Pulsar 1E 2259+586'],1994
"[u'Biesiada, Marek']",0,,8.0,ArXiv e-prints,[u'Gamma-Ray Bursts and Topology of the Universe'],1993
"[u'Bartelmann, M.', u'Schneider, P.', u'Hasinger, G.']",18,,23.0,Astronomy and Astrophysics,"[u'Diffuse X-ray emission around high-redshift, radio-loud QSOs.']",1994
"[u'Bernardeau, Francis']",160,,32.0,The Astrophysical Journal,[u'Skewness and Kurtosis in Large-Scale Cosmic Fields'],1994
"[u'Tamblyn, Peter', u'Melia, Fulvio']",11,3.0,,The Astrophysical Journal,[u'Reconciliation of the Disparate Gamma-Ray Burst Catalogs in the Context of a Cosmological Source Distribution'],1993
"[u'Scharf, C.']",0,,2.0,Cosmic Velocity Fields,[u'Cosmological parameters from spherical harmonic analyses'],1993
"[u'Molteni, Diego', u'Lanzafame, Giuseppe', u'Chakrabarti, Sandip K.']",105,,16.0,The Astrophysical Journal,[u'Simulation of Thick Accretion Disks with Standing Shocks by Smoothed Particle Hydrodynamics'],1994
"[u'Mardling, Rosemary A.']",1,,21.0,ArXiv e-prints,[u'The Role of Chaos in the Circularization of Tidal Capture Binaries. II. Long-Term Evolution'],1993
"[u'Kolatt, Tsafrir', u'Dekel, Avishai', u'Lahav, Ofer']",61,8.0,,Monthly Notices of the Royal Astronomical Society,[u'Large-scale mass distribution behind the Galactic plane'],1995
"[u'Loeb, Abraham', u'Rasio, Frederic A.']",140,4.0,20.0,The Astrophysical Journal,[u'Collapse of Primordial Gas Clouds and the Formation of Quasar Black Holes'],1994
"[u'Wu, Xiang-Ping']",90,6.0,12.0,The Astrophysical Journal,[u'Gravitational Microlensing by the MACHOs of the Large Magellanic Cloud'],1994
"[u'Catelan, P.', u'Coles, P.', u'Matarrese, S.', u'Moscardini, L.']",11,2.0,8.0,Monthly Notices of the Royal Astronomical Society,[u'Weighted Bias and Galaxy Clustering'],1994
"[u'Mamon, Gary A.']",4,,6.0,Astrophysics and Space Science,[u'Groups and Clusters in the Near-Infrared'],1994
"[u'Kolb, Edward W.', u'Tkachev, Igor I.']",47,3.0,15.0,Physical Review D,[u'Large-amplitude isothermal fluctuations and high-density dark-matter clumps'],1994
"[u'Nemiroff, R. J.', u'Wickramasinghe, W. A. D. T.', u'Norris, J. P.', u'Kouveliotou, C.', u'Fishman, G. J.', u'Meegan, C. A.', u'Paciesas, W. S.', u'Horack, J.']",16,17.0,14.0,The Astrophysical Journal,[u'Null Result in Gamma-Ray Burst Lensed Echo Search'],1994
"[u'Schneider, Stephen E.', u'Corbelli, Edvige']",7,4.0,13.0,The Astrophysical Journal,[u'Neutral Hydrogen Absorption and Emission in the Quasar/Galaxy Pair 3C 275.1/NGC 4651'],1993
"[u'Nichol', u'Collins']",0,,11.0,ArXiv e-prints,[u'The Stability of the Angular Two-Point Galaxy Correlation Function'],1993
"[u'Tuluie, Robin', u'Matzner, Richard A.', u'Anninos, Peter']",5,5.0,20.0,The Astrophysical Journal,[u'Anisotropies of the Cosmic Background Radiation in a Reionized Universe'],1995
"[u'Hinshaw, G.', u'Kogut, A.', u'Gorski, K. M.', u'Banday, A. J.', u'Bennett, C. L.', u'Lineweaver, C.', u'Lubin, P.', u'Smoot, G. F.', u'Wright, E. L.']",43,2.0,14.0,The Astrophysical Journal,[u'Limits on Three-Point Correlations in the COBE DMR First-Year Anisotropy Maps'],1994
"[u'Branchini, Enzo', u'Guzzo, Luigi', u'Valdarnini, Riccardo']",13,3.0,10.0,The Astrophysical Journal,[u'Modeling the Power Spectrum of Density Fluctuations: A Phenomenological Approach'],1994
"[u'Falcke, Heino', u'Biermann, Peter L.']",4,2.0,6.0,Mass-Transfer Induced Activity in Galaxies,[u'The Galactic Center - an AGN on a Starvation Diet (Poster talk)'],1994
"[u'Hendry, M. A.', u""O'dell, M. A."", u'Cameron, A. C.']",12,,14.0,Monthly Notices of the Royal Astronomical Society,[u'A new method for estimating the distance of young open clusters.'],1993
"[u'Berera, Arjun', u'Fang, Li-Zhi']",45,,14.0,Physical Review Letters,[u'Stochastic fluctuations and structure formation in the Universe'],1994
"[u'Torres, Sergio']",1,,,ArXiv e-prints,[u'Topological Analysis of COBE-DMR CMB Maps'],1993
"[u'Brown, A. G. A.', u'de Geus, E. J.', u'de Zeeuw, P. T.']",244,,21.0,Astronomy and Astrophysics,[u'The Orion OB1 association. I. Stellar content'],1994
"[u'Falcke, H.', u'Mannheim, K.', u'Biermann, P. L.']",95,,4.0,Astronomy and Astrophysics,[u'The Galactic Center radio jet.'],1993
"[u'Kamionkowski, Marc', u'Spergel, David N.', u'Sugiyama, Naoshi']",151,,12.0,The Astrophysical Journal,[u'Small-Scale Cosmic Microwave Background Anisotropies as a Probe of the Geometry of the Universe'],1994
"[u'Gasperini, M.', u'Veneziano, G.']",188,,14.0,Modern Physics Letters A,"[u'Inflation, Deflation, and Frame-Independence in String Cosmology']",1993
